"# Program:featureCounts v1.6.4; Command:""featureCounts"" ""-a"" ""Pflu55.saf.txt"" ""-F"" ""SAF"" ""-t"" ""GeneID"" ""--read2pos"" ""5"" ""-o"" ""Mark22_counts.txt"" ""YL37_1.sam"" ""YL37_2.sam"" ""YL37_3.sam"" ""GM103_1.sam"" ""GM103_2.sam"" ""GM103_3.sam"" ""YL57_1.sam"" ""YL57_2.sam"" ""YL57_3.sam"" "																												
																												
Geneid	Chr	Start	End	Strand	Length	YL37_1.sam	YL37_2.sam	YL37_3.sam	GM103_1.sam	GM103_2.sam	GM103_3.sam	YL57_1.sam	YL57_2.sam	YL57_3.sam	YL37_1.norm	YL37_2.norm	YL37_3.norm	GM103_1.norm	GM103_2.norm	GM103_3.norm	YL57_1.norm	YL57_2.norm	YL57_3.norm	log2FC 57vs37	log2FC 103vs37	#Orf	Name	Desc
33931E_Pfluorescens55_03282	1	3604299	3604463	-	165	5	19	94	5	4	2	0	4	0	1.420454545	6.713780919	53.71428571	1.76056338	1.104972376	0.67114094	0	2	0	-4.950667195	-4.128272854	33931E_Pfluorescens55_03282		hypothetical protein
33931E_Pfluorescens55_03337	1	3667751	3668167	+	417	123	4	81	22	0	6	0	0	7	34.94318182	1.413427562	46.28571429	7.746478873	0	2.013422819	0	0	2.734375	-4.917597802	-3.081942298	33931E_Pfluorescens55_03337		hypothetical protein
33931E_Pfluorescens55_02305	1	2491540	2491803	+	264	0	133	35	0	0	1	0	0	6	0	46.99646643	20	0	0	0.33557047	0	0	2.34375	-4.83719441	-7.641325432	33931E_Pfluorescens55_02305		hypothetical protein
33931E_Pfluorescens55_01874	1	2070498	2070728	+	231	25	7	0	3	1	0	1	0	0	7.102272727	2.473498233	0	1.056338028	0.276243094	0	0.403225806	0	0	-4.569728766	-2.845165284	33931E_Pfluorescens55_01874		hypothetical protein
33931E_Pfluorescens55_02568	1	2781023	2781712	+	690	233	102	141	141	32	141	18	2	2	66.19318182	36.04240283	80.57142857	49.64788732	8.839779006	47.31543624	7.258064516	1	0.78125	-4.337964237	-0.788939485	33931E_Pfluorescens55_02568	livF_5	High-affinity branched-chain amino acid transport ATP-binding protein LivF
33931E_Pfluorescens55_00158	1	179103	180470	-	1368	13	17	0	0	0	0	0	1	0	3.693181818	6.007067138	0	0	0	0	0	0.5	0	-4.278021774	#NUM!	33931E_Pfluorescens55_00158	glmU_1	Bifunctional protein GlmU
33931E_Pfluorescens55_03689	1	4043550	4043903	-	354	3	7	7	0	1	14	0	0	1	0.852272727	2.473498233	4	0	0.276243094	4.697986577	0	0	0.390625	-4.229124406	-0.558507475	33931E_Pfluorescens55_03689		hypothetical protein
33931E_Pfluorescens55_00624	1	711166	712605	+	1440	89	4	3	26	34	4	4	0	0	25.28409091	1.413427562	1.714285714	9.154929577	9.392265193	1.342281879	1.612903226	0	0	-4.138758663	-0.514485132	33931E_Pfluorescens55_00624	kdkA	3-deoxy-D-manno-octulosonic acid kinase
33931E_Pfluorescens55_01279	1	1420226	1420852	-	627	47	0	102	4	41	9	4	5	0	13.35227273	0	58.28571429	1.408450704	11.32596685	3.020134228	1.612903226	2.5	0	-4.122495767	-2.184956089	33931E_Pfluorescens55_01279		hypothetical protein
33931E_Pfluorescens55_00063	1	66421	67464	+	1044	400	284	282	142	130	250	41	9	2	113.6363636	100.3533569	161.1428571	50	35.91160221	83.89261745	16.53225806	4.5	0.78125	-4.104106847	-1.143528246	33931E_Pfluorescens55_00063		hypothetical protein
33931E_Pfluorescens55_03266	1	3592807	3593088	+	282	0	0	46	96	42	13	4	0	0	0	0	26.28571429	33.8028169	11.60220994	4.362416107	1.612903226	0	0	-4.026547155	0.920923324	33931E_Pfluorescens55_03266		hypothetical protein
33931E_Pfluorescens55_05420	1	5890626	5890877	+	252	2	148	19	18	122	0	3	5	1	0.568181818	52.29681979	10.85714286	6.338028169	33.70165746	0	1.209677419	2.5	0.390625	-3.957992594	-0.670364172	33931E_Pfluorescens55_05420	fdx_2	Ferredoxin
33931E_Pfluorescens55_03633	1	3984175	3984801	-	627	191	153	101	29	25	301	0	14	10	54.26136364	54.06360424	57.71428571	10.21126761	6.906077348	101.0067114	0	7	3.90625	-3.928297315	-0.491221547	33931E_Pfluorescens55_03633	exaE	Transcriptional activator protein ExaE
33931E_Pfluorescens55_01263	1	1398898	1399881	+	984	184	203	111	63	168	175	22	0	10	52.27272727	71.73144876	63.42857143	22.18309859	46.40883978	58.72483221	8.870967742	0	3.90625	-3.87472741	-0.557950568	33931E_Pfluorescens55_01263		hypothetical protein
33931E_Pfluorescens55_01383	1	1551259	1551639	+	381	64	8	0	1	77	0	0	3	0	18.18181818	2.826855124	0	0.352112676	21.27071823	0	0	1.5	0	-3.807950653	0.041570357	33931E_Pfluorescens55_01383	arnF_1	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
33931E_Pfluorescens55_00430	1	481794	482339	-	546	109	98	26	52	88	92	16	0	0	30.96590909	34.62897527	14.85714286	18.30985915	24.30939227	30.87248322	6.451612903	0	0	-3.64039699	-0.13054677	33931E_Pfluorescens55_00430	rmlC	dTDP-4-dehydrorhamnose 3%2C5-epimerase
33931E_Pfluorescens55_05501	1	5976687	5977910	-	1224	198	6	38	29	14	27	0	9	6	56.25	2.120141343	21.71428571	10.21126761	3.867403315	9.060402685	0	4.5	2.34375	-3.548662764	-1.791190622	33931E_Pfluorescens55_05501	ubiI	2-octaprenylphenol hydroxylase
33931E_Pfluorescens55_04977	1	5435404	5435571	-	168	27	11	0	1	40	135	0	2	0	7.670454545	3.886925795	0	0.352112676	11.04972376	45.30201342	0	1	0	-3.530742521	2.294632263	33931E_Pfluorescens55_04977		hypothetical protein
33931E_Pfluorescens55_00887	1	1012684	1013268	-	585	156	5	17	63	70	1	3	1	8	44.31818182	1.766784452	9.714285714	22.18309859	19.33701657	0.33557047	1.209677419	0.5	3.125	-3.528754244	-0.414822172	33931E_Pfluorescens55_00887	pth	Peptidyl-tRNA hydrolase
33931E_Pfluorescens55_03028	1	3314475	3314663	-	189	33	107	0	29	15	49	7	3	0	9.375	37.80918728	0	10.21126761	4.143646409	16.44295302	2.822580645	1.5	0	-3.448338669	-0.615473016	33931E_Pfluorescens55_03028		hypothetical protein
33931E_Pfluorescens55_04641	1	5058675	5059034	-	360	33	234	52	11	213	234	13	10	3	9.375	82.68551237	29.71428571	3.873239437	58.83977901	78.52348993	5.241935484	5	1.171875	-3.415363172	0.21389747	33931E_Pfluorescens55_04641		hypothetical protein
33931E_Pfluorescens55_02417	1	2604825	2605280	-	456	3	0	15	77	29	73	0	1	1	0.852272727	0	8.571428571	27.11267606	8.011049724	24.4966443	0	0.5	0.390625	-3.403403797	2.661439614	33931E_Pfluorescens55_02417		hypothetical protein
33931E_Pfluorescens55_01796	1	1984223	1986844	+	2622	102	0	0	11	1	1	6	0	1	28.97727273	0	0	3.873239437	0.276243094	0.33557047	2.419354839	0	0.390625	-3.366290134	-2.691724879	33931E_Pfluorescens55_01796	topA_2	DNA topoisomerase 1
33931E_Pfluorescens55_01619	1	1798038	1798238	-	201	129	93	0	8	87	9	11	4	1	36.64772727	32.86219081	0	2.816901408	24.03314917	3.020134228	4.435483871	2	0.390625	-3.348083515	-1.218512681	33931E_Pfluorescens55_01619		hypothetical protein
33931E_Pfluorescens55_01041	1	1168350	1168589	-	240	90	30	31	63	67	107	6	3	4	25.56818182	10.60070671	17.71428571	22.18309859	18.50828729	35.90604027	2.419354839	1.5	1.5625	-3.297098811	0.507461073	33931E_Pfluorescens55_01041		hypothetical protein
33931E_Pfluorescens55_03428	1	3760174	3760566	+	393	25	19	26	18	243	62	6	1	0	7.102272727	6.713780919	14.85714286	6.338028169	67.12707182	20.80536913	2.419354839	0.5	0	-3.295981264	1.717103161	33931E_Pfluorescens55_03428	dsrE	Putative sulfurtransferase DsrE
33931E_Pfluorescens55_01183	1	1307604	1307813	-	210	147	95	3	254	75	77	12	3	4	41.76136364	33.56890459	1.714285714	89.43661972	20.71823204	25.83892617	4.838709677	1.5	1.5625	-3.285547528	0.81977576	33931E_Pfluorescens55_01183		hypothetical protein
33931E_Pfluorescens55_02997	1	3279679	3279876	-	198	134	0	16	0	11	1	13	0	0	38.06818182	0	9.142857143	0	3.038674033	0.33557047	5.241935484	0	0	-3.17095273	-3.80648781	33931E_Pfluorescens55_02997		hypothetical protein
33931E_Pfluorescens55_03910	1	4259981	4260187	-	207	17	0	45	2	11	49	5	3	0	4.829545455	0	25.71428571	0.704225352	3.038674033	16.44295302	2.016129032	1.5	0	-3.118821114	-0.597536523	33931E_Pfluorescens55_03910		hypothetical protein
33931E_Pfluorescens55_00201	1	227434	228252	+	819	134	190	70	152	101	95	24	4	13	38.06818182	67.13780919	40	53.52112676	27.90055249	31.87919463	9.677419355	2	5.078125	-3.115390515	-0.35794199	33931E_Pfluorescens55_00201	aroE_1	Shikimate dehydrogenase (NADP(+))
33931E_Pfluorescens55_01162	1	1290692	1291666	-	975	8	23	0	0	31	0	3	0	0	2.272727273	8.127208481	0	0	8.563535912	0	1.209677419	0	0	-3.103880331	-0.280296098	33931E_Pfluorescens55_01162	kdsD	Arabinose 5-phosphate isomerase KdsD
33931E_Pfluorescens55_00797	1	915722	915964	-	243	101	45	121	23	176	203	14	12	6	28.69318182	15.90106007	69.14285714	8.098591549	48.61878453	68.12080537	5.64516129	6	2.34375	-3.023347321	0.134356334	33931E_Pfluorescens55_00797		hypothetical protein
33931E_Pfluorescens55_01384	1	1551636	1552040	+	405	55	13	30	0	0	2	0	0	12	15.625	4.593639576	17.14285714	0	0	0.67114094	0	0	4.6875	-2.994661656	-5.798792677	33931E_Pfluorescens55_01384	arnE_1	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
33931E_Pfluorescens55_00641	1	732402	733679	+	1278	95	78	56	1	241	21	9	13	2	26.98863636	27.56183746	32	0.352112676	66.57458564	7.046979866	3.629032258	6.5	0.78125	-2.987853292	-0.226529705	33931E_Pfluorescens55_00641	waaA	3-deoxy-D-manno-octulosonic acid transferase
33931E_Pfluorescens55_05507	1	5981820	5982137	+	318	197	228	164	185	293	99	35	2	36	55.96590909	80.56537102	93.71428571	65.14084507	80.93922652	33.22147651	14.11290323	1	14.0625	-2.980348872	-0.360785428	33931E_Pfluorescens55_05507	zapA	Cell division protein ZapA
33931E_Pfluorescens55_03608	1	3957021	3957386	+	366	271	114	83	50	106	177	7	11	33	76.98863636	40.28268551	47.42857143	17.6056338	29.28176796	59.39597315	2.822580645	5.5	12.890625	-2.956805064	-0.631923676	33931E_Pfluorescens55_03608	pcoC	Copper resistance protein C
33931E_Pfluorescens55_04567	1	4983490	4983627	+	138	1	80	143	3	86	59	3	17	12	0.284090909	28.26855124	81.71428571	1.056338028	23.75690608	19.79865772	1.209677419	8.5	4.6875	-2.937142248	-1.305499594	33931E_Pfluorescens55_04567		hypothetical protein
33931E_Pfluorescens55_02580	1	2795129	2795716	-	588	64	132	215	25	99	90	22	29	4	18.18181818	46.64310954	122.8571429	8.802816901	27.3480663	30.20134228	8.870967742	14.5	1.5625	-2.912135383	-1.500074075	33931E_Pfluorescens55_02580	tetC	Transposon Tn10 TetC protein
33931E_Pfluorescens55_02621	1	2871289	2871465	+	177	9	3	85	1	0	4	16	1	0	2.556818182	1.060070671	48.57142857	0.352112676	0	1.342281879	6.451612903	0.5	0	-2.908307236	-4.944885126	33931E_Pfluorescens55_02621		hypothetical protein
33931E_Pfluorescens55_00922	1	1047898	1048176	-	279	129	37	46	8	84	89	3	7	14	36.64772727	13.07420495	26.28571429	2.816901408	23.20441989	29.86577181	1.209677419	3.5	5.46875	-2.900629883	-0.443629426	33931E_Pfluorescens55_00922	rpsT	30S ribosomal protein S20
33931E_Pfluorescens55_01617	1	1795963	1796079	+	117	115	3	34	23	23	13	10	0	8	32.67045455	1.060070671	19.42857143	8.098591549	6.35359116	4.362416107	4.032258065	0	3.125	-2.892837685	-1.498464061	33931E_Pfluorescens55_01617		hypothetical protein
33931E_Pfluorescens55_03286	1	3608505	3609185	-	681	95	165	39	34	42	114	8	6	22	26.98863636	58.30388693	22.28571429	11.97183099	11.60220994	38.25503356	3.225806452	3	8.59375	-2.859812085	-0.799028944	33931E_Pfluorescens55_03286	narI	Respiratory nitrate reductase 1 gamma chain
33931E_Pfluorescens55_03779	1	4137405	4137566	+	162	0	10	0	1	124	0	0	1	0	0	3.533568905	0	0.352112676	34.25414365	0	0	0.5	0	-2.821126042	3.291834933	33931E_Pfluorescens55_03779		hypothetical protein
33931E_Pfluorescens55_04947	1	5399700	5400368	-	669	199	21	77	41	117	52	3	0	39	56.53409091	7.4204947	44	14.43661972	32.32044199	17.44966443	1.209677419	0	15.234375	-2.714786745	-0.749628183	33931E_Pfluorescens55_04947		hypothetical protein
33931E_Pfluorescens55_03880	1	4235031	4235255	-	225	72	0	14	0	35	9	3	0	8	20.45454545	0	8	0	9.668508287	3.020134228	1.209677419	0	3.125	-2.714662594	-1.165121402	33931E_Pfluorescens55_03880		hypothetical protein
33931E_Pfluorescens55_02491	1	2691986	2692285	-	300	78	189	122	3	61	49	0	28	29	22.15909091	66.7844523	69.71428571	1.056338028	16.85082873	16.44295302	0	14	11.328125	-2.647106527	-2.207531678	33931E_Pfluorescens55_02491		hypothetical protein
33931E_Pfluorescens55_04122	1	4506465	4506788	-	324	368	123	48	143	128	366	55	11	1	104.5454545	43.46289753	27.42857143	50.35211268	35.35911602	122.8187919	22.17741935	5.5	0.390625	-2.643951965	0.249302676	33931E_Pfluorescens55_04122		hypothetical protein
33931E_Pfluorescens55_02309	1	2494005	2494376	-	372	280	18	150	104	202	48	34	12	20	79.54545455	6.360424028	85.71428571	36.61971831	55.80110497	16.10738255	13.70967742	6	7.8125	-2.640552552	-0.661149031	33931E_Pfluorescens55_02309	todT	Response regulator protein TodT
33931E_Pfluorescens55_02513	1	2726079	2727695	+	1617	563	82	139	334	337	279	4	31	71	159.9431818	28.97526502	79.42857143	117.6056338	93.09392265	93.62416107	1.612903226	15.5	27.734375	-2.581007522	0.181506917	33931E_Pfluorescens55_02513		hypothetical protein
33931E_Pfluorescens55_05521	1	5996087	5997346	-	1260	54	131	26	11	126	41	8	0	25	15.34090909	46.28975265	14.85714286	3.873239437	34.80662983	13.75838926	3.225806452	0	9.765625	-2.557669337	-0.544609965	33931E_Pfluorescens55_05521	rho	Transcription termination factor Rho
33931E_Pfluorescens55_00260	1	283974	284609	+	636	75	0	0	0	9	0	9	0	0	21.30681818	0	0	0	2.486187845	0	3.629032258	0	0	-2.553658381	-3.099307957	33931E_Pfluorescens55_00260	dsbA	Thiol:disulfide interchange protein DsbA
33931E_Pfluorescens55_01944	1	2143631	2143837	+	207	68	2	85	190	79	359	0	18	7	19.31818182	0.706713781	48.57142857	66.90140845	21.82320442	120.4697987	0	9	2.734375	-2.547390267	1.608641137	33931E_Pfluorescens55_01944		hypothetical protein
33931E_Pfluorescens55_04915	1	5362913	5363668	-	756	229	13	165	81	11	38	19	36	7	65.05681818	4.593639576	94.28571429	28.52112676	3.038674033	12.75167785	7.661290323	18	2.734375	-2.529391596	-1.887381841	33931E_Pfluorescens55_04915	tpiA	Triosephosphate isomerase
33931E_Pfluorescens55_02691	1	2941030	2941788	+	759	2	10	6	32	5	66	2	1	0	0.568181818	3.533568905	3.428571429	11.26760563	1.38121547	22.14765101	0.806451613	0.5	0	-2.527057893	2.208157553	33931E_Pfluorescens55_02691		hypothetical protein
33931E_Pfluorescens55_02219	1	2425288	2425479	-	192	92	58	80	11	54	78	16	1	24	26.13636364	20.49469965	45.71428571	3.873239437	14.91712707	26.17449664	6.451612903	0.5	9.375	-2.499813779	-1.038241223	33931E_Pfluorescens55_02219		hypothetical protein
33931E_Pfluorescens55_03722	1	4078300	4078839	-	540	2	328	37	297	25	131	14	38	0	0.568181818	115.9010601	21.14285714	104.5774648	6.906077348	43.95973154	5.64516129	19	0	-2.481230991	0.175780871	33931E_Pfluorescens55_03722	C1-hpah	p-hydroxyphenylacetate 3-hydroxylase%2C reductase component
33931E_Pfluorescens55_01693	1	1879227	1879685	-	459	453	225	73	29	391	147	25	22	62	128.6931818	79.50530035	41.71428571	10.21126761	108.0110497	49.32885906	10.08064516	11	24.21875	-2.463860917	-0.576822794	33931E_Pfluorescens55_01693		hypothetical protein
33931E_Pfluorescens55_01137	1	1266947	1267234	-	288	0	0	38	1	0	5	10	0	0	0	0	21.71428571	0.352112676	0	1.677852349	4.032258065	0	0	-2.428984617	-3.41911772	33931E_Pfluorescens55_01137	gatC	Glutamyl-tRNA(Gln) amidotransferase subunit C
33931E_Pfluorescens55_05551	1	6028751	6029509	-	759	0	22	1	0	42	0	0	0	4	0	7.77385159	0.571428571	0	11.60220994	0	0	0	1.5625	-2.417104294	0.475367242	33931E_Pfluorescens55_05551	hemD	Uroporphyrinogen-III synthase
33931E_Pfluorescens55_03822	1	4178733	4178927	+	195	164	51	19	92	442	124	5	22	3	46.59090909	18.02120141	10.85714286	32.3943662	122.0994475	41.61073826	2.016129032	11	1.171875	-2.411217356	1.377662117	33931E_Pfluorescens55_03822	csrA1_1	Translational regulator CsrA1
33931E_Pfluorescens55_05307	1	5773376	5773639	+	264	331	323	185	129	213	257	2	72	64	94.03409091	114.1342756	105.7142857	45.42253521	58.83977901	86.24161074	0.806451613	36	25	-2.34439595	-0.720404574	33931E_Pfluorescens55_05307		hypothetical protein
33931E_Pfluorescens55_01609	1	1787373	1787738	-	366	26	137	9	22	65	142	20	8	0	7.386363636	48.40989399	5.142857143	7.746478873	17.9558011	47.65100671	8.064516129	4	0	-2.336598488	0.267493066	33931E_Pfluorescens55_01609		hypothetical protein
33931E_Pfluorescens55_02311	1	2496023	2496553	+	531	210	67	36	107	333	116	1	28	16	59.65909091	23.67491166	20.57142857	37.67605634	91.98895028	38.9261745	0.403225806	14	6.25	-2.330832029	0.698258006	33931E_Pfluorescens55_02311		hypothetical protein
33931E_Pfluorescens55_02406	1	2593875	2594144	-	270	10	10	56	0	43	1	1	9	7	2.840909091	3.533568905	32	0	11.87845304	0.33557047	0.403225806	4.5	2.734375	-2.328955704	-1.651608599	33931E_Pfluorescens55_02406		hypothetical protein
33931E_Pfluorescens55_05375	1	5846558	5846776	-	219	307	121	96	106	60	171	66	1	26	87.21590909	42.75618375	54.85714286	37.32394366	16.57458564	57.38255034	26.61290323	0.5	10.15625	-2.31013903	-0.731984654	33931E_Pfluorescens55_05375		hypothetical protein
33931E_Pfluorescens55_03096	1	3392051	3392464	+	414	234	156	61	273	60	292	19	6	55	66.47727273	55.12367491	34.85714286	96.12676056	16.57458564	97.98657718	7.661290323	3	21.484375	-2.283080147	0.429331359	33931E_Pfluorescens55_03096		hypothetical protein
33931E_Pfluorescens55_02587	1	2830400	2831260	-	861	49	436	163	63	87	225	74	3	58	13.92045455	154.0636042	93.14285714	22.18309859	24.03314917	75.5033557	29.83870968	1.5	22.65625	-2.273854527	-1.101189634	33931E_Pfluorescens55_02587	pkn1	Serine/threonine-protein kinase pkn1
33931E_Pfluorescens55_00971	1	1094595	1094795	-	201	8	10	0	62	97	0	3	0	0	2.272727273	3.533568905	0	21.83098592	26.79558011	0	1.209677419	0	0	-2.262995785	3.066054643	33931E_Pfluorescens55_00971		hypothetical protein
33931E_Pfluorescens55_02209	1	2420348	2420554	+	207	320	5	88	2	11	13	0	5	70	90.90909091	1.766784452	50.28571429	0.704225352	3.038674033	4.362416107	0	2.5	27.34375	-2.260126848	-4.140615429	33931E_Pfluorescens55_02209		hypothetical protein
33931E_Pfluorescens55_04824	1	5258667	5259635	+	969	26	19	0	21	77	33	2	2	3	7.386363636	6.713780919	0	7.394366197	21.27071823	11.0738255	0.806451613	1	1.171875	-2.243136075	1.494842346	33931E_Pfluorescens55_04824	ispB	Octaprenyl diphosphate synthase
33931E_Pfluorescens55_00454	1	515624	516328	-	705	78	132	15	184	22	24	27	2	12	22.15909091	46.64310954	8.571428571	64.78873239	6.077348066	8.053691275	10.88709677	1	4.6875	-2.222868169	0.028544842	33931E_Pfluorescens55_00454		hypothetical protein
33931E_Pfluorescens55_01187	1	1309895	1310155	+	261	62	135	53	0	11	29	0	41	0	17.61363636	47.70318021	30.28571429	0	3.038674033	9.731543624	0	20.5	0	-2.221424901	-2.904265696	33931E_Pfluorescens55_01187		hypothetical protein
33931E_Pfluorescens55_05117	1	5578371	5578655	-	285	153	65	14	122	6	37	12	21	2	43.46590909	22.96819788	8	42.95774648	1.657458564	12.41610738	4.838709677	10.5	0.78125	-2.207115705	-0.384209607	33931E_Pfluorescens55_05117		hypothetical protein
33931E_Pfluorescens55_04450	1	4857209	4857397	-	189	5	6	0	1	15	124	0	0	2	1.420454545	2.120141343	0	0.352112676	4.143646409	41.61073826	0	0	0.78125	-2.180135999	3.702905976	33931E_Pfluorescens55_04450	csrA2	Translational regulator CsrA2
33931E_Pfluorescens55_00895	1	1019936	1021018	+	1083	0	19	0	9	0	0	0	3	0	0	6.713780919	0	3.169014085	0	0	0	1.5	0	-2.16216296	-1.083091389	33931E_Pfluorescens55_00895	prfA	Peptide chain release factor RF1
33931E_Pfluorescens55_00266	1	291932	292216	+	285	343	307	167	491	495	319	61	50	48	97.44318182	108.4805654	95.42857143	172.8873239	136.7403315	107.0469799	24.59677419	25	18.75	-2.140506012	0.467470115	33931E_Pfluorescens55_00266		hypothetical protein
33931E_Pfluorescens55_05219	1	5674267	5675292	-	1026	2	0	2	0	0	0	0	0	1	0.568181818	0	1.142857143	0	0	0	0	0	0.390625	-2.131016421	#NUM!	33931E_Pfluorescens55_05219	tsaD	tRNA N6-adenosine threonylcarbamoyltransferase
33931E_Pfluorescens55_03510	1	3843518	3843796	+	279	227	34	90	16	332	168	4	38	22	64.48863636	12.01413428	51.42857143	5.633802817	91.71270718	56.37583893	1.612903226	19	8.59375	-2.1310008	0.264957171	33931E_Pfluorescens55_03510		hypothetical protein
33931E_Pfluorescens55_01244	1	1375760	1376089	+	330	62	157	56	25	170	58	56	1	3	17.61363636	55.4770318	32	8.802816901	46.96132597	19.46308725	22.58064516	0.5	1.171875	-2.115427991	-0.482307691	33931E_Pfluorescens55_01244		hypothetical protein
33931E_Pfluorescens55_03643	1	3994578	3995384	-	807	125	312	172	328	158	290	116	16	4	35.51136364	110.2473498	98.28571429	115.4929577	43.64640884	97.31543624	46.77419355	8	1.5625	-2.114997013	0.071560779	33931E_Pfluorescens55_03643		hypothetical protein
33931E_Pfluorescens55_01292	1	1433676	1434317	+	642	150	66	163	136	323	164	48	27	10	42.61363636	23.32155477	93.14285714	47.88732394	89.22651934	55.03355705	19.35483871	13.5	3.90625	-2.113483368	0.27247869	33931E_Pfluorescens55_01292	nagL_1	Maleylpyruvate isomerase
33931E_Pfluorescens55_02258	1	2448959	2449738	+	780	286	36	55	98	90	40	0	7	66	81.25	12.72084806	31.42857143	34.50704225	24.86187845	13.42281879	0	3.5	25.78125	-2.098481622	-0.784684024	33931E_Pfluorescens55_02258		hypothetical protein
33931E_Pfluorescens55_03224	1	3542945	3543217	+	273	9	5	16	56	0	87	2	0	6	2.556818182	1.766784452	9.142857143	19.71830986	0	29.19463087	0.806451613	0	2.34375	-2.095854559	1.860845577	33931E_Pfluorescens55_03224		hypothetical protein
33931E_Pfluorescens55_03680	1	4032901	4033626	-	726	166	199	106	169	219	257	59	23	17	47.15909091	70.3180212	60.57142857	59.50704225	60.49723757	86.24161074	23.79032258	11.5	6.640625	-2.086183273	0.212094763	33931E_Pfluorescens55_03680	golD_2	NAD-dependent glycerol dehydrogenase
33931E_Pfluorescens55_01225	1	1355823	1356500	-	678	320	229	166	93	142	172	15	77	50	90.90909091	80.91872792	94.85714286	32.74647887	39.22651934	57.71812081	6.048387097	38.5	19.53125	-2.057198591	-1.040056784	33931E_Pfluorescens55_01225	czcR_2	Transcriptional activator protein CzcR
33931E_Pfluorescens55_05040	1	5505511	5506116	+	606	90	21	184	245	119	19	54	3	26	25.56818182	7.4204947	105.1428571	86.26760563	32.87292818	6.375838926	21.77419355	1.5	10.15625	-2.046808304	-0.13816714	33931E_Pfluorescens55_05040	lptE	LPS-assembly lipoprotein LptE
