## Thu Oct 20 12:33:49 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
33931E_Pfluorescens55_00015	321846.PS417_27740	3.31e-262	719.0	COG0477@1|root,COG0477@2|Bacteria,1MWDW@1224|Proteobacteria,1S0PM@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EGP	Major Facilitator	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
puuC	321846.PS417_27745	0.0	912.0	COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,1RMBQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	belongs to the aldehyde dehydrogenase family	aldH	-	1.2.1.54,1.2.1.99	ko:K09472,ko:K12254	ko00330,ko01100,map00330,map01100	M00136	R02549,R03177,R07417,R07418	RC00080	ko00000,ko00001,ko00002,ko01000	-	-	iJN746.PP_5278	Aldedh
33931E_Pfluorescens55_00017	321846.PS417_27750	7.35e-87	254.0	COG3450@1|root,COG3450@2|Bacteria,1N0F7@1224|Proteobacteria,1S92W@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	transcriptional regulator	-	-	-	ko:K06995	-	-	-	-	ko00000	-	-	-	Cupin_3
rpmG	1117958.PE143B_0125625	2.49e-29	104.0	COG0267@1|root,COG0267@2|Bacteria	2|Bacteria	J	Belongs to the bacterial ribosomal protein bL33 family	rpmG	GO:0000027,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042221,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046677,GO:0050896,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02913	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L33
rpmB	321846.PS417_27760	6.13e-48	153.0	COG0227@1|root,COG0227@2|Bacteria,1MZ57@1224|Proteobacteria,1S8UG@1236|Gammaproteobacteria	1236|Gammaproteobacteria	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	GO:0000027,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02902	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L28
dppA_1	321846.PS417_27765	0.0	1056.0	COG0747@1|root,COG0747@2|Bacteria,1MUZH@1224|Proteobacteria,1RNES@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	ABC-Type Dipeptide Transport System Periplasmic Component	-	-	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	SBP_bac_5
ysxA	321846.PS417_27770	2.14e-157	441.0	COG2003@1|root,COG2003@2|Bacteria,1MXZ5@1224|Proteobacteria,1RP86@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Belongs to the UPF0758 family	radC	GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360	-	ko:K03630	-	-	-	-	ko00000	-	-	-	RadC
coaBC	321846.PS417_27775	6.95e-282	771.0	COG0452@1|root,COG0452@2|Bacteria,1MVQP@1224|Proteobacteria,1RMKQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	H	Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine	coaBC	GO:0000166,GO:0003674,GO:0003824,GO:0004632,GO:0004633,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0010181,GO:0015936,GO:0015937,GO:0016829,GO:0016830,GO:0016831,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0032553,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046483,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	4.1.1.36,6.3.2.5	ko:K13038	ko00770,ko01100,map00770,map01100	M00120	R03269,R04231	RC00064,RC00090,RC00822	ko00000,ko00001,ko00002,ko01000	-	-	iEC042_1314.EC042_3945,iECUMN_1333.ECUMN_4154,iJN746.PP_5285,iSBO_1134.SBO_3641	DFP,Flavoprotein
dut	216595.PFLU_5984	7.84e-106	305.0	COG0756@1|root,COG0756@2|Bacteria,1RA7P@1224|Proteobacteria,1S233@1236|Gammaproteobacteria,1YNDY@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	F	This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA	dut	GO:0000166,GO:0000287,GO:0001882,GO:0001884,GO:0002134,GO:0003674,GO:0003824,GO:0004170,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006220,GO:0006221,GO:0006226,GO:0006244,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009141,GO:0009143,GO:0009147,GO:0009149,GO:0009157,GO:0009162,GO:0009165,GO:0009166,GO:0009176,GO:0009177,GO:0009200,GO:0009204,GO:0009211,GO:0009213,GO:0009219,GO:0009221,GO:0009223,GO:0009262,GO:0009263,GO:0009264,GO:0009265,GO:0009394,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0018130,GO:0019103,GO:0019438,GO:0019439,GO:0019637,GO:0019692,GO:0022607,GO:0032549,GO:0032551,GO:0032553,GO:0032557,GO:0032991,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046078,GO:0046080,GO:0046081,GO:0046385,GO:0046386,GO:0046434,GO:0046483,GO:0046700,GO:0046872,GO:0047429,GO:0051259,GO:0051260,GO:0055086,GO:0065003,GO:0070206,GO:0070207,GO:0071704,GO:0071840,GO:0072527,GO:0072528,GO:0072529,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901136,GO:1901137,GO:1901265,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576	3.6.1.23	ko:K01520	ko00240,ko00983,ko01100,map00240,map00983,map01100	M00053	R02100,R11896	RC00002	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	-	dUTPase
algC	321846.PS417_27785	0.0	931.0	COG1109@1|root,COG1109@2|Bacteria,1MUA5@1224|Proteobacteria,1RMU8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	phosphomannomutase	algC	GO:0003674,GO:0003824,GO:0004615,GO:0005975,GO:0008150,GO:0008152,GO:0016853,GO:0016866,GO:0016868,GO:0044238,GO:0071704	5.4.2.2,5.4.2.8	ko:K15778	ko00010,ko00030,ko00051,ko00052,ko00230,ko00500,ko00520,ko00521,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01130	M00114	R00959,R01057,R01818,R08639	RC00408	ko00000,ko00001,ko00002,ko01000	-	-	-	PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV
argB	321846.PS417_27790	4.36e-209	578.0	COG0548@1|root,COG0548@2|Bacteria,1MU17@1224|Proteobacteria,1RNKK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Catalyzes the ATP-dependent phosphorylation of N-acetyl- L-glutamate	argB	GO:0003674,GO:0003824,GO:0003991,GO:0004042,GO:0005488,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0008080,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016407,GO:0016410,GO:0016597,GO:0016740,GO:0016746,GO:0016747,GO:0016772,GO:0016774,GO:0019752,GO:0031406,GO:0033554,GO:0034618,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0050896,GO:0051716,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.3.1.1,2.7.2.8	ko:K00930,ko:K22478	ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230	M00028,M00845	R00259,R02649	RC00002,RC00004,RC00043,RC00064	ko00000,ko00001,ko00002,ko01000	-	-	iAPECO1_1312.APECO1_2508,iB21_1397.B21_03793,iEC55989_1330.EC55989_4441,iECB_1328.ECB_03844,iECDH10B_1368.ECDH10B_4147,iECDH1ME8569_1439.ECDH1ME8569_3827,iECD_1391.ECD_03844,iECH74115_1262.ECH74115_5419,iECIAI1_1343.ECIAI1_4167,iECO103_1326.ECO103_4715,iECOK1_1307.ECOK1_4431,iECS88_1305.ECS88_4414,iECSE_1348.ECSE_4252,iETEC_1333.ETEC_4227,iEcE24377_1341.EcE24377A_4498,iEcHS_1320.EcHS_A4193,iEcolC_1368.EcolC_4057,iSbBS512_1146.SbBS512_E4445,iUMN146_1321.UM146_20050,iUMNK88_1353.UMNK88_4797,iUTI89_1310.UTI89_C4550,iY75_1357.Y75_RS17255	AA_kinase,NAT
pyrE	1415630.U771_30935	1.02e-148	419.0	COG0461@1|root,COG0461@2|Bacteria,1MW6F@1224|Proteobacteria,1RQYG@1236|Gammaproteobacteria	1236|Gammaproteobacteria	F	Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)	pyrE	GO:0000287,GO:0003674,GO:0003824,GO:0004588,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006207,GO:0006220,GO:0006221,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009117,GO:0009165,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019856,GO:0034641,GO:0034654,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046112,GO:0046390,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.4.2.10	ko:K00762	ko00240,ko01100,map00240,map01100	M00051	R01870	RC00611	ko00000,ko00001,ko00002,ko01000	-	-	iAPECO1_1312.APECO1_2819,iECIAI39_1322.ECIAI39_4161,iEcSMS35_1347.EcSMS35_3977,iUTI89_1310.UTI89_C4186	Pribosyltran
exoA	1117958.PE143B_0124530	6.67e-192	531.0	COG0708@1|root,COG0708@2|Bacteria,1MVII@1224|Proteobacteria,1RN4H@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Exodeoxyribonuclease III	crc	-	3.1.11.2	ko:K01142	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	Exo_endo_phos
33931E_Pfluorescens55_00029	321846.PS417_27805	7.01e-82	242.0	COG3296@1|root,COG3296@2|Bacteria,1N31K@1224|Proteobacteria,1T0FI@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF4870)	-	-	-	ko:K09940	-	-	-	-	ko00000	-	-	-	DUF4870,SHOCT
rph	216595.PFLU_5991	1.81e-166	466.0	COG0689@1|root,COG0689@2|Bacteria,1MVFZ@1224|Proteobacteria,1RNTB@1236|Gammaproteobacteria,1YN4Z@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	J	Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates	rph	GO:0003674,GO:0003824,GO:0004518,GO:0004540,GO:0006139,GO:0006396,GO:0006399,GO:0006401,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016075,GO:0016787,GO:0016788,GO:0019439,GO:0034470,GO:0034641,GO:0034655,GO:0034660,GO:0034661,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0140098,GO:1901360,GO:1901361,GO:1901575	2.7.7.56	ko:K00989	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	RNase_PH,RNase_PH_C
33931E_Pfluorescens55_00031	321846.PS417_27815	2.58e-194	540.0	COG1561@1|root,COG1561@2|Bacteria,1MWRA@1224|Proteobacteria,1RMAB@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Stress-induced protein	yicC	GO:0000175,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006401,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009022,GO:0009056,GO:0009057,GO:0009987,GO:0016070,GO:0016072,GO:0016075,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0019439,GO:0034641,GO:0034655,GO:0034660,GO:0034661,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0140098,GO:0140101,GO:1901360,GO:1901361,GO:1901575	-	-	-	-	-	-	-	-	-	-	DUF1732,YicC_N
